,county name,pop_density,mean_PRE,sd_PRE,mean_POST,sd_POST
1885,"Wayne, New York, US",155.3,0.0,0.0,0.0,0.0
1886,"Westchester, New York, US",2204.7,0.3503910516159139,0.20512214223028885,0.26473407756703976,0.13034344555584496
1887,"Wyoming, New York, US",71.1,0.0,0.0,0.0,0.0
1888,"Yates, New York, US",75.0,0.0,0.0,0.0,0.0
1889,"Alamance, North Carolina, US",356.5,0.0,0.0,0.0,0.0
1890,"Alexander,North Carolina,US",143.1,0.0,0.0,0.0,0.0
1891,"Alleghany, North Carolina, US",47.5,0.0,0.0,0.0,0.0
1892,"Anson, North Carolina, US",50.7,0.0,0.0,0.0,0.0
1893,"Ashe, North Carolina, US",64.0,0.0,0.0,0.0,0.0
1894,"Avery, North Carolina, US",72.0,0.0,0.0,0.0,0.0
1895,"Beaufort, North Carolina, US",57.7,0.0,0.0,0.0,0.0
1896,"Bertie, North Carolina, US",30.4,0.0,0.0,0.0,0.0
1897,"Bladen, North Carolina, US",40.2,0.0,0.0,0.0,0.0
1898,"Brunswick, North Carolina, US",126.8,0.0,,0.0,0.0
1899,"Buncombe, North Carolina, US",362.9,0.0,0.0,0.08664339756999315,0.08664339756999313
1900,"Burke, North Carolina, US",179.3,0.0,,0.1373265360835137,0.09392116258081579
1901,"Cabarrus, North Carolina, US",492.1,-2.7755575615628914e-17,0.09346394676005981,0.0,0.0
1902,"Caldwell, North Carolina, US",176.1,0.0,0.0,0.0,0.0
1903,"Camden, North Carolina, US",41.5,0.0,0.0,0.0,0.0
1904,"Carteret, North Carolina, US",131.3,-inf,,0.0,0.0
1905,"Caswell, North Carolina, US",55.8,0.0,0.0,0.0,0.0
1906,"Catawba, North Carolina, US",387.1,0.0,0.0,0.0,0.0
1907,"Chatham, North Carolina, US",93.1,0.0,0.0,0.0,0.0
1908,"Cherokee, North Carolina, US",60.3,0.0,0.0,0.0,0.0
1909,"Chowan, North Carolina, US",85.8,0.0,0.0,0.0,0.0
1910,"Clay, North Carolina, US",49.3,0.0,0.0,0.0,0.0
1911,"Cleveland, North Carolina, US",211.3,0.0,0.0,0.0,0.0
1912,"Columbus, North Carolina, US",62.0,0.0,0.0,0.0,0.0
1913,"Craven, North Carolina, US",146.0,0.0,0.0,0.0,0.0
1914,"Cumberland, North Carolina, US",489.7,0.0,0.0,0.0,0.0
1915,"Currituck, North Carolina, US",89.9,0.0,0.0,0.0,0.0
1916,"Dare, North Carolina, US",88.5,0.0,0.0,0.0,0.0
1917,"Davidson, North Carolina, US",294.7,0.0,0.0,0.09902102579427789,0.0990210257942779
1918,"Davie, North Carolina, US",156.2,0.23104906018664845,0.23104906018664845,0.0,0.0
1919,"Duplin, North Carolina, US",71.7,0.0,0.0,0.0,0.0
1920,"Durham, North Carolina, US",935.7,0.0,,0.0,0.0
1921,"Edgecombe, North Carolina, US",111.9,0.0,0.0,0.0,0.0
1922,"Forsyth, North Carolina, US",859.2,0.13862943611198902,0.13862943611198905,0.08664339756999315,0.05780297538738535
1923,"Franklin, North Carolina, US",123.3,0.0,0.0,0.0,0.0
1924,"Gaston, North Carolina, US",578.8,0.0,0.0,0.1373265360835137,0.09392116258081579
1925,"Gates, North Carolina, US",35.8,0.0,0.0,0.0,0.0
1926,"Graham, North Carolina, US",30.3,0.0,0.0,0.0,0.0
1927,"Granville, North Carolina, US",112.7,0.0,0.0,0.0,0.0
1928,"Greene, North Carolina, US",80.3,0.0,0.0,0.0,0.0
1929,"Guilford, North Carolina, US",756.4,0.32188758248682,0.2026628852700716,0.08664339756999319,0.057604015626470925
1930,"Halifax, North Carolina, US",75.5,0.0,0.0,0.0,0.0
1931,"Harnett, North Carolina, US",192.7,0.06931471805599453,0.06931471805599453,0.0,0.0
1932,"Haywood, North Carolina, US",106.6,0.0,0.0,0.0,0.0
1933,"Henderson, North Carolina, US",286.1,0.0,0.0,0.2011797390542625,0.0900022507523231
1934,"Hertford, North Carolina, US",69.9,0.0,0.0,0.0,0.0
1935,"Hoke, North Carolina, US",120.2,0.0,0.0,0.0,0.0
1936,"Hyde, North Carolina, US",9.5,0.0,0.0,0.0,0.0
1937,"Iredell, North Carolina, US",277.8,0.0,0.0,0.0,0.0
1938,"Jackson, North Carolina, US",82.1,0.0,0.0,0.0,0.0
